"Date Format: dd/mm/yyyy mandatory","Start time Format: hh:mm:ss If UTC time is not used, please read manual. Mandatory","Duration Format: hh:mm mandatory","Title inserted into EIT Title Title and short description together must be up to 256 characters (DVB limitation) mandatory","Short description Will be inserted into EIT Short Event descriotion.Title and short description together must be up to 256 characters (DVB limitation) Optional","Long descritopn Will be inserted into EIT extended event description Maximum length (DVB limitation) :4k Optional","Genre max 50 characters Optional","Sub genre max 50 characters Optional","Parental_rating max 10 characters Optional"
"05/01/2021","16:48:00","02:12","Rahasya","When Dr Sachin Mahajan is accused of killing Ayesha, his own daughter, all the evidence is against him. However, CBI Officer Paraskar starts a fresh investigation which leads him to disturbing truths.","","","",""
"05/01/2021","19:00:00","02:00","Blank","After a suicide bomber with a bomb attached to his heart loses his memory following an accident, the Anti-Terrorism Squad sets off on a critical mission to save the country from a deadly attack.","","","",""
"05/01/2021","21:00:00","02:40","The Real Tevar","Harsha Vardhan, a multi-millionaire, meets Charuseela, who influences him to enrol for a course on rural development. He gradually takes interest in the remote village of Devarakota.","","","",""
"05/01/2021","23:40:00","00:20","Amavas","Karan and Ahana's weekend vacation at an ancient palatial house turns into a nightmare when they are forced to fend themselves from the dark forces residing in the house.","","","",""
"06/01/2021","00:00:00","01:58","Amavas","Karan and Ahana's weekend vacation at an ancient palatial house turns into a nightmare when they are forced to fend themselves from the dark forces residing in the house.","","","",""
"06/01/2021","01:58:00","01:15","Blue Oranges","When a wealthy alcoholic turns up dead, Detective Nilesh investigates the murder by interrogating various suspects that include her former lover, a spoilt brat and the commissioner's brother.","","","",""
"06/01/2021","03:13:00","02:25","Laali Ki Shaadi Mein Laaddoo Deewana","Laddoo, a middle-class ambitious man, falls in love with beautiful Laali. However, their happiness is short-lived when they discover that Laali is pregnant.","","","",""
"06/01/2021","05:38:00","02:39","Company","Chandu, a henchman, and Mallik, a local hothead, join hands to form a gang. As their gang gains a reputation, tension arises between them and they eventually fall apart.","","","",""
"06/01/2021","08:17:00","02:33","Double Dhamaal","Four idlers make elaborate plans to earn money by investing in buildings but are conned by Kabir, who leaves them unemployed and penniless. Soon, they are on the prowl to avenge their humiliation.","","","",""
"06/01/2021","10:50:00","02:58","Dangal","Mahavir Phogat is forced to leave his wrestling career for conventional work. However, when he sees his daughters' potential, he trains them to become the best wrestlers and bring home a gold medal.","","","",""
"06/01/2021","13:48:00","02:00","Bindi","When a top-ranking MBBS student fails to acquire a good score in college, he tries committing suicide. As his blood spills over a tomb, he gets possessed by the mysterious spirit of a girl.","","","",""
"06/01/2021","15:48:00","02:26","Gulaab Gang","Rajjo runs a gang that strives to uplift the downtrodden and combat injustice in the village. When a corrupt politician runs for the local elections, Rajjo decides to compete against her.","","","",""
"06/01/2021","18:14:00","02:46","God Tussi Great Ho","Arun holds God responsible for all the problems in his life. When God appears before him and grants him divine powers, Arun thinks he can make the world a better place by granting everybody's wishes.","","","",""
"06/01/2021","21:00:00","02:45","Golmaal - Fun Unlimited","Friends Gopal, Lucky, Madhav and Laxman often dupe gullible people out of their money. Hilarity ensues when they target a middle-aged couple and simultaneously try wooing their pretty neighbour.","","","",""
"06/01/2021","23:45:00","00:15","Grand Masti","Friends Amar, Meet and Prem, who are unhappy with their married lives, decide to go for their college reunion to have fun. However, they get in trouble with the principal and a student.","","","",""
"07/01/2021","00:00:00","01:31","Grand Masti","Friends Amar, Meet and Prem, who are unhappy with their married lives, decide to go for their college reunion to have fun. However, they get in trouble with the principal and a student.","","","",""
"07/01/2021","01:31:00","01:49","Alone","Sanjana's life is ruined by the evil spirit of her conjoined twin who died during surgery. In the past, her sister Anjana was jealous of her boyfriend Kabir and now seeks to steal her husband.","","","",""
"07/01/2021","03:20:00","02:26","Super Nani","Mann's grandmother Bharti is scorned and ill-treated by her family. To make them realise her worth, Mann gives her a complete makeover and also convinces her to take up modelling opportunities.","","","",""
"07/01/2021","05:46:00","02:52","Sarfarosh","After his brother is killed and father severely injured by terrorists, a young medical student quits his studies to join the Indian Police Service to wipe out the terrorists.","","","",""
"07/01/2021","08:38:00","01:58","Total Siyapaa","Aman, a Pakistani man living in London, falls in love with Asha, an Indian woman. But he must convince her parents to let them get married, despite their different nationalities.","","","",""
"07/01/2021","10:36:00","02:02","Great Grand Masti","Three friends travel to a small town where they meet Ragini, a beautiful woman. However, they soon realise that she has brought nothing but trouble in their lives.","","","",""
"07/01/2021","12:38:00","02:26","Super Taxi","A young man settles for the job of a taxi driver after quitting several odd jobs. However, things take a turn when he realises that the car he drives is possessed.","","","",""
"07/01/2021","15:04:00","03:01","Namaste England","Param and Jasmeet's relationship undergoes stress and changes as they struggle to fulfil their dreams of relocating to England.","","","",""
"07/01/2021","18:05:00","02:55","Players","Two professional robbers, an illusionist, an expert make-up artist, a gadget expert and a hacker come together to steal Romanian gold ingots while it is in transit.","","","",""
"07/01/2021","21:00:00","02:15","Commando 3","Upon learning of a possible threat to their country, officers Karan and Bhavana set out on a mission to London to stop a terrorist attack on India.","","","",""
"07/01/2021","23:15:00","00:45","Love Action Dhamaka","Nandana rejects the love-struck Karthik but unknown to them, their match was already arranged by their parents. She is not able to refuse her father and agrees while Karthik tries to win her over.","","","",""
